1398567080,1398567080: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567080,1398567081: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567342,1398567342: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567342,1398567343: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567664,1398567664: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567664,1398567665: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567926,1398567926: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567926,1398567927: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568248,1398568248: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568248,1398568249: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568570,1398568570: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568570,1398568571: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568832,1398568832: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568832,1398568833: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398569154,1398569154: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398569154,1398569156: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398569476,1398569477: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398569477,1398569478: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398569738,1398569739: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398569739,1398569740: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398570060,1398570061: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398570061,1398570062: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398570322,1398570323: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398570323,1398570324: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398570645,1398570645: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398570645,1398570646: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398570967,1398570967: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398570967,1398570968: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398571229,1398571229: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398571229,1398571230: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398571551,1398571551: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398571551,1398571552: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398571874,1398571874: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398571874,1398571875: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
